"index","lambda"
0,4.66364058612369
1,3.6598384480963
2,2.87209471201919
3,2.25390496105077
4,1.76877439040921
5,1.38806333817596
6,1.08929654411291
7,0.854836323661999
8,0.670841328012343
9,0.526449420681501
10,0.413136431765558
11,0.324212933943448
12,0.254429332429021
13,0.19966595537354
14,0.156689849219136
15,0.122963921427584
16,0.0964971633338101
17,0.075727111036841
18,0.0594276054120731
19,0.0466364058612369
