,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
b264ac8ff5f9aff74f0b9aa084d9a9f0,1.196251385457143,0.2322515892473355,0.23876123876123875,0.7864131384310756,1.0
4abaa483334092f021534a979086baeb,0.24274106615121263,0.8083206683717227,0.7772227772227772,0.9705248416284642,1.0
b6a1cfc87c3ffa7f96227d4a372d8dd7,0.950357474291962,0.3424595675139651,0.34565434565434566,0.8423829460013671,1.0
b6635d67cb594473ddba9f8cfba5d13d,-0.6869749106272293,0.4924654435276816,0.5084915084915085,0.9230100799443867,1.0
6251bd9ebf43fae466939ab366f6e547,-0.25942267375932343,0.7954321468223264,0.7992007992007992,0.9779490219324245,1.0
4516aa60a483dd8c7bbc57098c45f1a5,1.0630923967075376,0.28833120891116065,0.3116883116883117,0.825487012987013,1.0
70d55baf78e9ac4d0babeac5dcbae5c2,0.3234643449793994,0.7464994094535544,0.7422577422577422,0.964119654595845,1.0
c6fdf631c16099e62a83c66db8a7a6f1,1.5051989893863391,0.13300033567490208,0.12687312687312688,0.6852081741787625,1.0
bbae6ed124f4d6b48435a964a95c8418,-1.0085710017538156,0.31374238862187204,0.3226773226773227,0.8338252656434475,1.0
c728ad6f5d183cb36fa06b6a3a47758b,0.6879763902208202,0.49183517916135744,0.4995004995004995,0.9230100799443867,1.0
8f6e2a91e20994c00566a5ff2b49506e,-1.683474415102969,0.09300238619630012,0.07592407592407592,0.6162014780799311,1.0
22f4ee9a41a4d73580bf7ade8e9e017a,-0.15100620396266923,0.8800409833313583,0.8891108891108891,0.993884422455851,1.0
98fcc7e4135d41152d2db711de5c1255,0.29595303665227995,0.7674075014577104,0.7842157842157842,0.9705248416284642,1.0
9df251784dde31e05f02b2ee1029d71c,1.3593571760204135,0.1747393178983594,0.17482517482517482,0.707488104182319,1.0
25af29e1b2d121f8aae468d270d75518,-2.7263857364305437,0.006662524475230983,0.005994005994005994,0.3386613386613387,1.0
35fd41579b5eec27ec14c400c586c480,0.3414335267096563,0.7329424860635447,0.7302697302697303,0.964119654595845,1.0
ffc36e27c82042664a16bcd4d380b286,-0.3722375102920632,0.7098977133879144,0.6933066933066933,0.9599128486970144,1.0
ca60f9527111263bca48622331f2b3f6,0.7653071925476274,0.4445046104798087,0.45854145854145856,0.9053728529534981,1.0
8d478879084ed7c88660c8b0c4b24923,0.12254714719536713,0.9025224349138448,0.9170829170829171,0.9957093903878826,1.0
75a7dd04040e23328468b763836841ac,0.4912166187124657,0.623521552442732,0.6333666333666333,0.9520337530489815,1.0
d91b5c77b23b27230a16c7dc4325f4cd,-1.3967342611494893,0.16320731322424745,0.16983016983016982,0.707342518976868,1.0
85e5f4133e5ea47da3e24828bdf463f5,1.9923010233750889,0.0469640414832769,0.06393606393606394,0.590704892591685,1.0
4d6fe682a4dd9aad8decfab830a193e0,-1.755263900676936,0.07991968625805877,0.08291708291708291,0.6183004812446437,1.0
e9398bc0ad9626bc4742c93fd0363bac,0.6696551089539547,0.5034337817090169,0.5024975024975025,0.9230100799443867,1.0
d4d386b7d01baf327f6b43aa568cb9e7,-0.23169789481402975,0.8168818696966809,0.8101898101898102,0.9811571407316089,1.0
7b6d335d29fb8edf989ba7d03a848d84,-0.1726358729151188,0.8630181304697179,0.8461538461538461,0.9833741633268074,1.0
ad89a9d5fec4408fafb73e7225f44d08,0.010878450916432785,0.9913254218661355,0.989010989010989,0.999085671676239,1.0
dfa833b266bd2993b86feab3617b34c3,0.4790938077362363,0.6321131940729718,0.6123876123876124,0.9520337530489815,1.0
070175299e62656222c1900a4edcc5ee,1.5415080802977283,0.12392196299324816,0.11588411588411589,0.6702116780856938,1.0
224d266b147588a000917723c0268775,1.4463559051383659,0.1487991957166899,0.12087912087912088,0.6751765344921239,1.0
c7d1ed6c70202259164edf3ee7806f0c,-1.1461722632606792,0.25235543957332685,0.2017982017982018,0.7465751206399586,1.0
f7d40e3c3a3e3a250186ad650ae6ae42,0.5611752576271408,0.5749676956008682,0.5954045954045954,0.9520337530489815,1.0
bf37c87f8841a9f1a2cd20db4fa18b74,2.1928580583541035,0.028847667040019214,0.03496503496503497,0.5136363636363637,1.0
c287da853235f9a98089163fdca87226,0.23813118128566105,0.8118917381930423,0.8361638361638362,0.9830473283710693,1.0
e655845f5f4ce1633524c0c9a0b15927,0.2366382063862824,0.8130491246341855,0.7982017982017982,0.9779469904574158,1.0
cbe2abdf95ba4f41c1453328d1e0230c,0.995001992967417,0.32028971918970484,0.35664335664335667,0.8491233240017682,1.0
3f3a0eaeea9c0690b6ede1b17b4fd8ce,-0.7009977107828201,0.48368011221420815,0.45854145854145856,0.9053728529534981,1.0
4a1547af0bbae2aff8f3222d2fba2102,-0.22741226405666526,0.8202102731778019,0.8361638361638362,0.9830473283710693,1.0
6b6d13f1332283e053c18c3b7774b85c,-1.1893876993296217,0.23493743571627249,0.24675324675324675,0.8001777471976147,1.0
7440aa816171ce9e81d9b67d2dda61c6,1.9535261249582785,0.0513993731127889,0.04995004995004995,0.5732548701298702,1.0
31c7bc067538dcf7916e8b7cbefa44e5,-0.2747584164617928,0.7836325920856984,0.7782217782217782,0.9705248416284642,1.0
b74ab6944f5a7e98a99e29bcbea455c0,0.041830428315312085,0.9666531149030604,0.9600399600399601,0.9980853638711775,1.0
8eb4e34fd58ab95fa2efab34940c01fa,-0.6485186298943785,0.5169925466725708,0.5274725274725275,0.9272214429008854,1.0
3534b4be198dac95882f6e730b647c60,0.43171631476059247,0.6661619932464081,0.6503496503496503,0.9549213261788113,1.0
707940842caa2afe60491008e04a8173,1.1228184519666025,0.26213535983972097,0.26173826173826176,0.8163344086910966,1.0
b03de8408f8ac47026e0a3f8ed1bf79a,3.5057977982634534,0.0005026302146918996,0.000999000999000999,0.18344155844155846,0.653
6a57339163b1db2da81ab332dc9b1823,-2.0139988063456142,0.04462623556187329,0.055944055944055944,0.5812953280485748,1.0
866ea1cc638e4ceb9195a8a6a1869754,-0.24186217755950032,0.8090011971013138,0.7922077922077922,0.9746677108486155,1.0
202938f6ff9392b6e167b20b956d9ed1,2.621200480853788,0.009069775535457037,0.01098901098901099,0.423953823953824,1.0
19ff2a801156e1930f697799d400fa95,0.9416143963021746,0.34691391530590154,0.3726273726273726,0.8612279739040304,1.0
17fdda78730bfacccea7d1b032ad0de9,3.3060033565114426,0.0010249745411680263,0.001998001998001998,0.18344155844155846,0.891
1875d4e7a11ed24c92a865355693b86c,2.6032228237390465,0.009551567704555562,0.012987012987012988,0.423953823953824,1.0
a39d801345fa448b725cc560f78f64bd,-0.6353499952717112,0.5255350117341817,0.5214785214785215,0.9263022346456445,1.0
ec6c9233b72090035eb87c6ff39a84a7,-0.3196943376637077,0.7493538886794775,0.7612387612387612,0.9690292376600869,1.0
16af97c9cd594e26b3f7685345fc8cd3,2.1293426482755113,0.033788183087104746,0.03796203796203796,0.5311069882498454,1.0
ce0837f50ab0a7abc73bddc82e8b55e6,0.8673229458980747,0.38624437203909656,0.4195804195804196,0.8742746615087041,1.0
15e05255b2aa8ee3524ca61eb207bb18,-0.27586055162558787,0.7827864768707198,0.7862137862137862,0.9713608510917174,1.0
7995a612a6216f9f54f123fad99d4148,-1.0315703795900628,0.30284793284837125,0.2777222777222777,0.8192140576613773,1.0
87e78246820b532cd7477daab3b52ad9,0.9203913910599243,0.35787956191779335,0.33266733266733267,0.8367950542608077,1.0
34f6a9f2891692941ec6fdb0095c4012,0.4880988465632569,0.6257263277445998,0.6313686313686314,0.9520337530489815,1.0
bb35a35e317aeaf3cdd5bef973af2498,-1.1025392820016624,0.2708382994436504,0.23276723276723277,0.7864131384310756,1.0
f664a73e7de6e00ff70e013369499cbd,0.4747001818299648,0.6352394599674054,0.6263736263736264,0.9520337530489815,1.0
2555ab896130cd0373de325088a94110,0.14835698492907337,0.8821299497455788,0.8731268731268731,0.9892842134752767,1.0
4608cf2aa614ad44e2e4c90e5145221e,0.006034116196544661,0.9951882736602262,0.991008991008991,0.999085671676239,1.0
9cb986fb9a5d33f51977148b33c14fcb,0.17655321145513744,0.8599417053125862,0.8481518481518482,0.9833741633268074,1.0
11902be998c8092e98cbe98af2f648af,-1.531123438220528,0.12646744303252846,0.12287712287712288,0.6811565792697869,1.0
675d47d0e00ce464efcc06550c8d986f,-0.48809858848281507,0.625726510389174,0.6423576423576424,0.9527126099706744,1.0
