index,lambda,py_rank_L
0,4.66364058612369,5
1,3.6598384480963,5
2,2.87209471201919,5
3,2.25390496105077,5
4,1.76877439040921,5
5,1.38806333817596,5
6,1.08929654411291,5
7,0.854836323661999,5
8,0.670841328012343,5
9,0.526449420681501,5
10,0.413136431765558,5
11,0.324212933943448,5
12,0.254429332429021,5
13,0.19966595537354,5
14,0.156689849219136,5
15,0.122963921427584,5
16,0.0964971633338101,5
17,0.075727111036841,5
18,0.0594276054120731,5
19,0.0466364058612369,5
