,T_obs,p_true,p_perm,q_perm_BH,q_perm_Lee
s__Prevotella_stercorea;,1.7411415042439407,0.08236739375910512,0.08291708291708291,0.6068634068634068,1.0
s__Prevotellaceae_bacterium;,-1.752724157362474,0.08035544927142109,0.08491508491508491,0.6148397057487966,1.0
s__Ruminococcaceae_bacterium;,0.9040865049097632,0.36645109212008187,0.33466533466533466,0.8378156852124535,1.0
s__Ruminococcus_bicirculans;,2.0684367210512957,0.03919071902001177,0.04795204795204795,0.541058941058941,1.0
s__Ruminococcus_callidus;,0.055064721849207986,0.9561122406625441,0.949050949050949,0.9946550363217029,1.0
s__Ruminococcus_champanellensis;,0.5516360001258551,0.5814816758856493,0.6003996003996004,0.9430870753376553,1.0
s__Ruminococcus_flavefaciens;,-1.2954458117883518,0.19585509340769158,0.2047952047952048,0.7387810079102956,1.0
s__Ruminococcus_sp.;,-0.8847575812045086,0.3767772902917762,0.3986013986013986,0.8601890954832131,1.0
s__Selenomonadales_bacterium;,2.3706203518223754,0.018194293971157904,0.01998001998001998,0.43633785569269445,1.0
s__Slackia_isoflavoniconvertens;,-0.863305026032078,0.3884466082710466,0.3916083916083916,0.8593804898505061,1.0
s__Streptococcus_parasanguinis;,1.9173404071656026,0.05585084248912362,0.054945054945054944,0.5510785510785511,1.0
s__Streptococcus_salivarius;,2.0227156933341313,0.04371517846276768,0.03596403596403597,0.5106933882444087,1.0
s__Succinatimonas_hippei;,-1.0839707216627357,0.2789795872939131,0.2887112887112887,0.8013696045505191,1.0
s__Sutterella_wadsworthensis;,-1.941745996801584,0.05281462712685855,0.058941058941058944,0.5658132716956247,1.0
s__Sutterellaceae_bacterium;,0.24986903011773873,0.8028068608852381,0.8331668331668332,0.9794233187549383,1.0
s__Sutturella_timonensis;,1.6389260152546339,0.10195333733462332,0.1068931068931069,0.6432589632589633,1.0
s__Victivallis_vadensis;,1.350547500920745,0.17754420537047486,0.16983016983016982,0.6905406905406906,1.0
s__[Clostridium]_aldenense;,1.265953566657411,0.2062088269572795,0.21478521478521478,0.7534175668890695,1.0
s__[Clostridium]_leptum;,1.0429142646729683,0.2975685786551656,0.2887112887112887,0.8013696045505191,1.0
s__[Clostridium]_saccharogumia;,1.1095195707583372,0.2678205061535384,0.2967032967032967,0.8013696045505191,1.0
s__[Clostridium]_scindens;,0.040431709183851666,0.9677675432848444,0.9660339660339661,0.9961590006133436,1.0
s__[Clostridium]_spiroforme;,0.3933459100746205,0.6942571674268456,0.7072927072927073,0.9605201219932098,1.0
s__[Eubacterium]_siraeum;,-0.18911061367576504,0.8500945271048355,0.8541458541458542,0.9809274694770879,1.0
s__bacterium;,1.50154102164972,0.1339428686182939,0.13386613386613386,0.672043146726691,1.0
s__bacterium_YE57;,-0.9281517550138169,0.3538447522449343,0.34065934065934067,0.8378156852124535,1.0
s__unknown_1000;,-1.6773364897342051,0.0941966998294625,0.10789210789210789,0.6435502823168021,1.0
s__unknown_1004;,0.3247514352264619,0.7455256792533391,0.7382617382617382,0.9605201219932098,1.0
s__unknown_1007;,0.7093040007628845,0.47851671286392927,0.5134865134865135,0.9168717880058086,1.0
s__unknown_100;,2.786866457521293,0.005555536293829999,0.012987012987012988,0.4089398973119904,0.998
s__unknown_1011;,0.32948102042214955,0.7419510906316278,0.7412587412587412,0.9605201219932098,1.0
s__unknown_1014;,-0.3235184340626055,0.746458480922173,0.7472527472527473,0.9605201219932098,1.0
s__unknown_1016;,-0.5481807320711667,0.5838496554429966,0.5864135864135864,0.939649699413013,1.0
s__unknown_1019;,-0.7192720586100461,0.47236041842735954,0.5064935064935064,0.9168717880058086,1.0
s__unknown_101;,-0.12045386200370091,0.9041793691627196,0.9090909090909091,0.987270896434243,1.0
s__unknown_1024;,0.19189197998363702,0.8479165681846683,0.8571428571428571,0.9818709209572153,1.0
s__unknown_1029;,0.0052169661311326394,0.995839879266068,0.994005994005994,0.9976902267487887,1.0
s__unknown_102;,0.2501772213060661,0.802568680717326,0.8101898101898102,0.9757784362930769,1.0
s__unknown_1034;,-0.5031607896380685,0.6151064863394344,0.6143856143856143,0.9493069288987657,1.0
s__unknown_1035;,0.17617586271123295,0.8602379586370519,0.8701298701298701,0.9860945372167317,1.0
s__unknown_1036;,-1.8775121593264958,0.06111836945199963,0.04395604395604396,0.5313971742543172,1.0
s__unknown_1039;,-0.039339202371892215,0.9686380412897224,0.967032967032967,0.9961590006133436,1.0
s__unknown_103;,2.7920153630075744,0.005469457055094597,0.005994005994005994,0.3005883005883006,0.998
s__unknown_1040;,-1.6122014796465491,0.1076450180983211,0.0999000999000999,0.6383989841933767,1.0
s__unknown_1042;,1.2204358998130718,0.22296236299056216,0.15484515484515485,0.672043146726691,1.0
s__unknown_104;,0.5596511343888635,0.5760061313422631,0.5574425574425574,0.9236789941528701,1.0
s__unknown_1053;,-0.6912809507548634,0.48975859440721237,0.4945054945054945,0.915893370934243,1.0
s__unknown_1055;,-0.25922833736580875,0.7955819801503017,0.7802197802197802,0.9707817388843971,1.0
s__unknown_1058;,-0.0857892955810945,0.9316734785026008,0.8881118881118881,0.987270896434243,1.0
s__unknown_105;,3.8328123991977696,0.0001454119142150388,0.001998001998001998,0.16908091908091907,0.639
s__unknown_1060;,0.21760782569358322,0.8278369559496218,0.7822177822177823,0.9707817388843971,1.0
s__unknown_1064;,-0.4612007241008894,0.6448856476782945,0.6483516483516484,0.9500737357880216,1.0
s__unknown_1066;,-2.0210538152747892,0.04388764557560747,0.03496503496503497,0.5090608316414769,1.0
s__unknown_106;,1.8677857560267446,0.06246566823808099,0.06593406593406594,0.5686288234058935,1.0
s__unknown_1072;,1.19035593512998,0.23455722161785278,0.22577422577422576,0.7700209110788455,1.0
s__unknown_1076;,-0.8348046659529722,0.4042869844779431,0.4195804195804196,0.8695590124161553,1.0
s__unknown_1078;,-1.1998525396942668,0.23085119156021686,0.21478521478521478,0.7534175668890695,1.0
s__unknown_1079;,2.7560707518552556,0.006096481833319666,0.005994005994005994,0.3005883005883006,1.0
s__unknown_107;,-1.6098901890060735,0.10814890093390087,0.12787212787212787,0.6633672840569392,1.0
s__unknown_1082;,0.29606953201495156,0.7673185957609032,0.7812187812187812,0.9707817388843971,1.0
s__unknown_1085;,0.781563883901071,0.4348970648089494,0.4775224775224775,0.9030243499517242,1.0
s__unknown_1086;,-0.6084147235220217,0.5432307295653338,0.5544455544455544,0.9236789941528701,1.0
s__unknown_108;,-0.9564677204891668,0.3393684554492701,0.3386613386613387,0.8378156852124535,1.0
s__unknown_1092;,-0.5019656214325973,0.6159462627920346,0.6373626373626373,0.9500737357880216,1.0
s__unknown_1094;,1.3481760018115765,0.17830497675189702,0.20679320679320679,0.7387810079102956,1.0
s__unknown_1096;,-0.5420995244757829,0.5880281646716777,0.5804195804195804,0.9389344228053904,1.0
s__unknown_1097;,-0.49855612699765367,0.6183446910379806,0.6443556443556444,0.9500737357880216,1.0
s__unknown_109;,-1.797625290122648,0.0729313746576592,0.07092907092907093,0.5797060082774369,1.0
s__unknown_10;,-1.6784870929663651,0.09397188129828786,0.07792207792207792,0.5994687131050768,1.0
s__unknown_1100;,-2.2228916896458992,0.026737556942748066,0.008991008991008992,0.392704070123425,1.0
s__unknown_1106;,1.4751604488951033,0.14089447844052946,0.15284715284715283,0.672043146726691,1.0
s__unknown_1108;,0.8434636547740831,0.3994338183016458,0.4225774225774226,0.8695590124161553,1.0
s__unknown_1109;,-0.6422287001396569,0.5210637891104315,0.5404595404595405,0.9221822202954278,1.0
s__unknown_110;,2.1861009972181416,0.029341758807201936,0.04895104895104895,0.5477662833034733,1.0
s__unknown_1111;,-0.07423078751007645,0.940860949502671,0.948051948051948,0.9946550363217029,1.0
s__unknown_1116;,-0.1320754927376788,0.8949857880403909,0.8731268731268731,0.9860945372167317,1.0
s__unknown_1117;,0.33069799335344857,0.7410322100319598,0.7162837162837162,0.9605201219932098,1.0
s__unknown_1118;,-1.5124691354247093,0.13114237244714388,0.13786213786213786,0.672043146726691,1.0
s__unknown_111;,0.8739233755414351,0.3826432961524696,0.36563436563436563,0.8520979880704493,1.0
s__unknown_1121;,2.42718625481478,0.015622468609672672,0.01998001998001998,0.43633785569269445,1.0
s__unknown_1122;,-0.3344245883380893,0.7382207380627501,0.7602397602397603,0.9627518004383676,1.0
s__unknown_1124;,1.2523327303128209,0.21112307302157124,0.24275724275724275,0.7844708990293716,1.0
s__unknown_1125;,0.08365896217148444,0.9333661593826184,0.9090909090909091,0.987270896434243,1.0
s__unknown_112;,2.5485900639793106,0.01115929800053247,0.014985014985014986,0.43169596361085727,1.0
s__unknown_1132;,1.4632832471320996,0.1441137279962609,0.16483516483516483,0.6887713513480385,1.0
s__unknown_1135;,1.1647761095178366,0.2447494618661812,0.2777222777222777,0.8013696045505191,1.0
s__unknown_1136;,1.084824505954258,0.27860162505789154,0.2727272727272727,0.8013696045505191,1.0
s__unknown_113;,0.879899834837551,0.37940052362275245,0.3956043956043956,0.8599898504051859,1.0
s__unknown_1145;,-0.3971451315876685,0.6914556733211075,0.7052947052947053,0.9605201219932098,1.0
s__unknown_1148;,1.9493385325405732,0.05189877374055607,0.05094905094905095,0.5510785510785511,1.0
s__unknown_114;,0.37006169535915073,0.7115170425339836,0.7322677322677322,0.9605201219932098,1.0
s__unknown_1150;,-0.3106623461332862,0.7562064671024378,0.7502497502497503,0.9605201219932098,1.0
s__unknown_1155;,0.6850696959420103,0.49366565710247223,0.5044955044955045,0.9168717880058086,1.0
s__unknown_1157;,-0.6760440861267403,0.4993727410427168,0.5134865134865135,0.9168717880058086,1.0
s__unknown_115;,0.5859809680629708,0.5581929112032415,0.5644355644355644,0.9273894183204946,1.0
s__unknown_1168;,-1.0815534552178072,0.28005158571993805,0.26873126873126874,0.8013696045505191,1.0
s__unknown_116;,0.9379895985942128,0.3487714485177992,0.34465534465534464,0.8378156852124535,1.0
s__unknown_1171;,0.09504520502137305,0.9243227880416829,0.9100899100899101,0.987270896434243,1.0
s__unknown_1173;,0.8875968531805214,0.37524926523933533,0.38961038961038963,0.8593804898505061,1.0
s__unknown_1174;,-0.18651557340913863,0.852127618673098,0.8441558441558441,0.9794233187549383,1.0
s__unknown_1176;,0.21631245523934495,0.8288458356033012,0.8001998001998002,0.9752209986233389,1.0
s__unknown_117;,-1.1884840214053183,0.23529269363051614,0.24275724275724275,0.7844708990293716,1.0
s__unknown_1184;,-0.10081620335292989,0.9197429203335704,0.9300699300699301,0.991586366389516,1.0
s__unknown_1189;,2.2939462139325286,0.022270506627281264,0.022977022977022976,0.44444127301270153,1.0
s__unknown_118;,0.24086169418795425,0.8097760538391454,0.8081918081918081,0.9757784362930769,1.0
s__unknown_1191;,-1.9837670323691423,0.047911445157982395,0.054945054945054944,0.5510785510785511,1.0
s__unknown_1192;,0.17607778763365506,0.860314959788985,0.8701298701298701,0.9860945372167317,1.0
s__unknown_1198;,-1.0926184519251554,0.2751674825055528,0.2827172827172827,0.8013696045505191,1.0
s__unknown_1199;,0.06738138590100771,0.9463091176989105,0.936063936063936,0.9932841453217629,1.0
s__unknown_119;,-0.5780419222971498,0.5635356118654868,0.5604395604395604,0.9236789941528701,1.0
s__unknown_11;,-0.14705349787723843,0.8831580804297029,0.8911088911088911,0.987270896434243,1.0
s__unknown_1203;,-0.4086946994676,0.6829653088691463,0.6723276723276723,0.9531608288084972,1.0
s__unknown_1205;,-0.38381757014806095,0.7013016255287117,0.6873126873126874,0.9591499409681229,1.0
s__unknown_1206;,-1.3754324372500604,0.16970691367741225,0.1878121878121878,0.7242219536837099,1.0
s__unknown_120;,-0.6373378151282604,0.5242408899345878,0.5454545454545454,0.9231818181818181,1.0
s__unknown_1210;,-0.3052423836271381,0.7603278922167516,0.7372627372627373,0.9605201219932098,1.0
s__unknown_1212;,-1.1725928494403004,0.2416023325783344,0.24675324675324675,0.7861268143621084,1.0
s__unknown_1214;,2.414567875501046,0.016166579606003973,0.022977022977022976,0.44444127301270153,1.0
s__unknown_1215;,-0.5287187650214582,0.5972708346158369,0.5784215784215784,0.9368215516540874,1.0
s__unknown_1216;,-0.3327511438666196,0.7394828103971836,0.7532467532467533,0.9619956713089357,1.0
s__unknown_1217;,0.18592421495949626,0.8525910585969942,0.8541458541458542,0.9809274694770879,1.0
s__unknown_1218;,-0.7307001700987503,0.46535658460046425,0.4875124875124875,0.9079668611993232,1.0
s__unknown_121;,1.3493744265120104,0.177920221203143,0.2097902097902098,0.7416604283445014,1.0
s__unknown_1221;,0.07404944987315812,0.9410051548932372,0.9280719280719281,0.9902359264061391,1.0
s__unknown_1226;,-0.03984154325166186,0.9682377766090586,0.961038961038961,0.9961590006133436,1.0
s__unknown_1228;,0.42742145749843363,0.6692843642623925,0.7012987012987013,0.9591499409681229,1.0
s__unknown_1229;,-0.9390246695093566,0.34824037918712636,0.3996003996003996,0.8601890954832131,1.0
s__unknown_122;,0.9435633158385737,0.3459178053121922,0.34965034965034963,0.8454045954045953,1.0
s__unknown_1233;,2.3822758962870094,0.01763582840675409,0.016983016983016984,0.43633785569269445,1.0
s__unknown_1234;,0.757230408864709,0.4493227419609397,0.47052947052947053,0.899235406949292,1.0
s__unknown_1236;,-2.400616057794976,0.016787582915862787,0.016983016983016984,0.43633785569269445,1.0
s__unknown_1239;,-0.9768620688221731,0.32918162516425076,0.3066933066933067,0.8142406612994849,1.0
s__unknown_123;,-1.7873518720442285,0.07457832275050515,0.059940059940059943,0.5658132716956247,1.0
s__unknown_1244;,0.6077717789457766,0.5436567363678309,0.5494505494505495,0.9236789941528701,1.0
s__unknown_1245;,2.027926271876805,0.04317815175836142,0.04495504495504495,0.5339397444660602,1.0
s__unknown_124;,2.2113011404413427,0.02753548962708127,0.03896103896103896,0.5121674442062791,1.0
s__unknown_1250;,1.434707547646057,0.15209063743620682,0.14985014985014986,0.672043146726691,1.0
s__unknown_1252;,-0.6671492473579725,0.5050313534508017,0.5184815184815185,0.9168717880058086,1.0
s__unknown_1255;,-2.5476336893647837,0.011189471537477205,0.011988011988011988,0.4089398973119904,1.0
s__unknown_1258;,1.264182471020262,0.2068430617155661,0.21978021978021978,0.7645398080180689,1.0
s__unknown_1259;,0.6480536829368344,0.5172929230235496,0.5064935064935064,0.9168717880058086,1.0
s__unknown_125;,-0.029757786235464257,0.9762739046486228,0.9820179820179821,0.9961590006133436,1.0
s__unknown_1260;,-2.112654475137244,0.03520084694344041,0.024975024975024976,0.45088245088245094,1.0
s__unknown_1264;,1.4814074217864575,0.13922368227332757,0.15684315684315683,0.672043146726691,1.0
s__unknown_126;,0.9441820231491627,0.3456019613291318,0.2967032967032967,0.8013696045505191,1.0
s__unknown_1273;,0.7828016747225495,0.4341705040068482,0.44255744255744256,0.8877374477374478,1.0
s__unknown_1274;,-0.12870873823636195,0.8976477432590932,0.8791208791208791,0.9870063601406884,1.0
s__unknown_1277;,1.126971381374813,0.26037728854762415,0.2897102897102897,0.8013696045505191,1.0
s__unknown_1278;,1.3565442242796015,0.17563129528845062,0.17482517482517482,0.7001939237233354,1.0
s__unknown_1279;,-0.507756448051289,0.6118820985037872,0.5654345654345654,0.9273894183204946,1.0
s__unknown_127;,0.022593595741537312,0.9819848362946477,0.978021978021978,0.9961590006133436,1.0
s__unknown_1283;,-0.4439238021410941,0.6573189219935063,0.6633366633366633,0.9531608288084972,1.0
s__unknown_1284;,0.8985286478748198,0.3694019972777891,0.4085914085914086,0.8651878542674174,1.0
s__unknown_1286;,-0.6759525738892955,0.49943078568805677,0.5164835164835165,0.9168717880058086,1.0
s__unknown_128;,0.16512881980384633,0.8689194755594576,0.8821178821178821,0.987270896434243,1.0
s__unknown_1291;,2.0154689105651995,0.04447146822778382,0.04495504495504495,0.5339397444660602,1.0
s__unknown_1292;,-0.11830217526866893,0.9058829674030731,0.9020979020979021,0.987270896434243,1.0
s__unknown_1293;,-0.15614988825745663,0.875987481391838,0.8681318681318682,0.9860945372167317,1.0
s__unknown_1294;,-0.9403940851304171,0.3475385588890484,0.3546453546453546,0.8492812302336112,1.0
s__unknown_1296;,-1.2167683831439677,0.2243536254211765,0.2017982017982018,0.7387810079102956,1.0
s__unknown_1298;,0.3120925585770587,0.755120065126478,0.7512487512487512,0.9605201219932098,1.0
s__unknown_1299;,-1.7780855185101525,0.0760898629570706,0.08591408591408592,0.6154903297760441,1.0
s__unknown_129;,-0.28367619236030367,0.7767938167798248,0.7922077922077922,0.9710687142875208,1.0
s__unknown_12;,0.2989469633281054,0.7651236062681974,0.7822177822177823,0.9707817388843971,1.0
