"","4468234","4436552","4481131","4457438","4402903","4448331","2829179","4306262","4480861","4476877","4365130","4347159","505670","841635","1071450","4446058","4425214","165118","4481613","4402605","4453609","175844","325850","952003","1000986","4477696","359872","710275","128300","4409730","4387092","4420570","4446320","12574","1696853","1117593","4428714","290455","4396235","177679"
"4468234",0.338730058049475,0,0,0,0,0,0,0,0,0,-0.0168260128519259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161039585773262,0,0,0
"4436552",0,0.186368605957972,0,0,0,0,-0.00433360153670042,0,0,0,0,0,0,0,0,0,0,-0.0292551238794065,0,0,0,0,0.00961686639557295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4481131",0,0,0.546830334063307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4457438",0,0,0,0.573619224370042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4402903",0,0,0,0,0.518332877917304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4448331",0,0,0,0,0,0.124710241493212,0,0,0,0,0,0,0.0114183875920163,0,-0.0256723814050302,0,0,0,0,0,0,0,0,0,0,0,-0.00109471288386115,0,0,0,0,0,0,0,0,0,0,0,0,0
"2829179",0,-0.00433360153670042,0,0,0,0,0.359446595603214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4306262",0,0,0,0,0,0,0,0.196212433838104,0,0,0,0,0,0,0,0,0,0.0127803391710621,0,-0.0104023938154695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4480861",0,0,0,0,0,0,0,0,0.426380622671863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4476877",0,0,0,0,0,0,0,0,0,0.288574301680881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4365130",-0.0168260128519259,0,0,0,0,0,0,0,0,0,0.402659724854739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4347159",0,0,0,0,0,0,0,0,0,0,0,0.266695679337668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"505670",0,0,0,0,0,0.0114183875920163,0,0,0,0,0,0,0.251753572011925,0,0,-0.000190306063660094,0,0,0,0,0,0,0,0,-0.0609545844757624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"841635",0,0,0,0,0,0,0,0,0,0,0,0,0,0.274075264988425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1071450",0,0,0,0,0,-0.0256723814050302,0,0,0,0,0,0,0,0,0.243188958927323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4446058",0,0,0,0,0,0,0,0,0,0,0,0,-0.000190306063660094,0,0,0.323147025929451,0,0,0,0,0,0,0,0,-0.0649107876289354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4425214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384246434579829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
