"lambda_cov","lambda_cor","scale_factor"
4.66364058612369,0.900336610313242,0.193054458997575
3.6598384480963,0.706548131615755,0.193054458997575
2.87209471201919,0.55447069081866,0.193054458997575
2.25390496105077,0.435126402887606,0.193054458997575
1.76877439040921,0.341469783029216,0.193054458997575
1.38806333817596,0.267971816805927,0.193054458997575
1.08929654411291,0.210293555011647,0.193054458997575
0.854836323661999,0.165029963996043,0.193054458997575
0.670841328012343,0.129508909652638,0.193054458997575
0.526449420681501,0.101633408099254,0.193054458997575
0.413136431765558,0.0797578303266885,0.193054458997575
0.324212933943448,0.0625907525624689,0.193054458997575
0.254429332429021,0.0491187171251988,0.193054458997575
0.19966595537354,0.0385464029948728,0.193054458997575
0.156689849219136,0.0302496740714119,0.193054458997575
0.122963921427584,0.0237387333274225,0.193054458997575
0.0964971633338101,0.0186292076622094,0.193054458997575
0.075727111036841,0.0146194564526666,0.193054458997575
0.0594276054120731,0.0114727642123491,0.193054458997575
0.0466364058612369,0.00900336610313242,0.193054458997575
