"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",1.53679496202234,0,0.16445687794936,0.0112949089040262,0.0236620588410119,0,0,0,0.000119073578254117,0,0,0,-1.65771980062247e-10,0,0,0,-0.00522553136420539,0,0,0,0.129859587196369,0,0,-0.105067845624048,-1.02875705581152e-11,-0.00482450986665248,0,0,0,0,-0.0222854177633765,0,0,-0.0290824522294719,-0.0447095939559237,0,0,0,-0.0868904955516613,0
"2",0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.16445687794936,0,1.53679496202234,0.105547176265615,0.176892083280345,0,0,0,0.00111270308236704,0,0,0,-2.30219396430264e-10,0,0,0,-0.0125409016074106,0,0,0,0.0722892222969204,0,0,-0.203460678700195,-1.42870844863753e-11,-0.0118652412521781,0,0,0,0,-0.154626449892017,0,0,-0.087216155273385,-0.17483094599889,0,0,0,-0.159741966930967,0
"4",0.0112949089040262,0,0.105547176265615,1.53679496202234,0.0121489595915162,0,0,0,0.0162012528587699,0,0,0,-1.58181835086141e-11,0,0,0,-0.000861309924370802,0,0,0,0.00496482841092002,0,0,-0.0139736924247368,-9.81653708214004e-13,-0.000814905527962882,0,0,0,0,-0.0106197544665737,0,0,-0.00599001112154291,-0.0120074005515948,0,0,0,-0.0109710885044338,0
"5",0.0236620588410119,0,0.176892083280345,0.0121489595915162,1.53679496202234,0,0,0,0.000128077180871361,0,0,0,-8.69058713829205e-11,0,0,0,-0.00567454205841311,0,0,0,0.00967887571670316,0,0,-0.0960095932375443,-5.39325333165815e-12,-0.00450865823534695,0,0,0,0,-0.0870294741115237,0,0,-0.0523332516410025,-0.0567036644523869,0,0,0,-0.0458230905700759,0
"6",0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.000119073578254117,0,0.00111270308236704,0.0162012528587699,0.000128077180871361,0,0,0,1.53679496202234,0,0,0,-1.6675899981624e-13,0,0,0,-9.08013119468861e-06,0,0,0,5.23403853301744e-05,0,0,-0.000147313942287994,-1.03488235838536e-14,-8.59092516620583e-06,0,0,0,0,-0.000111955941854858,0,0,-6.31481018647105e-05,-0.00012658483227777,0,0,0,-0.000115659787667688,0
"10",0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",-1.65771980062247e-10,0,-2.30219396430264e-10,-1.58181835086141e-11,-8.69058713829205e-11,0,0,0,-1.6675899981624e-13,0,0,0,1.53679496202234,0,0,0,4.96110315716199e-11,0,0,0,-2.97067738735554e-11,0,0,1.77339788183993e-10,0.0953712840929106,2.43970623705151e-11,0,0,0,0,7.57683396599433e-11,0,0,6.41980745536269e-11,1.06311065940291e-10,0,0,0,6.88776779161297e-11,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",-0.00522553136420539,0,-0.0125409016074106,-0.000861309924370802,-0.00567454205841311,0,0,0,-9.08013119468861e-06,0,0,0,4.96110315716199e-11,0,0,0,1.53679496202234,0,0,0,-0.00185717444736684,0,0,0.0627363858953944,3.07878923544424e-12,0.0808680150281985,0,0,0,0,0.00592303289099092,0,0,0.0451130588704957,0.0426771158784909,0,0,0,0.0200745457448836,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.129859587196369,0,0.0722892222969204,0.00496482841092002,0.00967887571670316,0,0,0,5.23403853301744e-05,0,0,0,-2.97067738735554e-11,0,0,0,-0.00185717444736684,0,0,0,1.53679496202234,0,0,-0.0215609128430069,-1.84355964236791e-12,-0.0012655541192795,0,0,0,0,-0.00884182888428958,0,0,-0.034206212643995,-0.0146561581497161,0,0,0,-0.0246720429770281,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",-0.105067845624048,0,-0.203460678700195,-0.0139736924247368,-0.0960095932375443,0,0,0,-0.000147313942287994,0,0,0,1.77339788183993e-10,0,0,0,0.0627363858953944,0,0,0,-0.0215609128430069,0,0,1.53679496202234,1.10054520855635e-11,0.048208142792633,0,0,0,0,0.0655305425847505,0,0,0.168083768002583,0.289973289109292,0,0,0,0.304751765667985,0
"25",-1.02875705581152e-11,0,-1.42870844863753e-11,-9.81653708214004e-13,-5.39325333165815e-12,0,0,0,-1.03488235838536e-14,0,0,0,0.0953712840929106,0,0,0,3.07878923544424e-12,0,0,0,-1.84355964236791e-12,0,0,1.10054520855635e-11,1.53679496202234,1.51404658648083e-12,0,0,0,0,4.70207413840516e-12,0,0,3.9840401340298e-12,6.59751178431066e-12,0,0,0,4.27444958535965e-12,0
"26",-0.00482450986665248,0,-0.0118652412521781,-0.000814905527962882,-0.00450865823534695,0,0,0,-8.59092516620583e-06,0,0,0,2.43970623705151e-11,0,0,0,0.0808680150281985,0,0,0,-0.0012655541192795,0,0,0.048208142792633,1.51404658648083e-12,1.53679496202234,0,0,0,0,0.00704375944082042,0,0,0.0106944686532908,0.0559023824817578,0,0,0,0.0351511249625332,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0,0,0
"31",-0.0222854177633765,0,-0.154626449892017,-0.0106197544665737,-0.0870294741115237,0,0,0,-0.000111955941854858,0,0,0,7.57683396599433e-11,0,0,0,0.00592303289099092,0,0,0,-0.00884182888428958,0,0,0.0655305425847505,4.70207413840516e-12,0.00704375944082042,0,0,0,0,1.53679496202234,0,0,0.0358571077031428,0.14336434520974,0,0,0,0.107672118520368,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53679496202234,0,0,0,0,0,0,0,0
