"","Kingdom","Phylum","Class","Order","Family","Rank6","Rank7","Genus","Species","Rank5","Rank3","Rank4","Rank2"
"185100","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4264281","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4306262","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"289883","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4393181","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae",NA,NA,NA,NA,NA,NA,NA,NA
"121873","Bacteria","Firmicutes","Clostridia","Clostridiales","Dehalobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4443138","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4450215","Bacteria","Proteobacteria","Zetaproteobacteria","Mariprofundales","Mariprofundaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4347159","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"575533","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4430475","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Pseudoalteromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"334459","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"403359","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12574","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae",NA,NA,NA,NA,NA,NA,NA,NA
"777467","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermatophilaceae",NA,NA,NA,NA,NA,NA,NA,NA
"151886","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4212795","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bartonellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4436552","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"527642","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"718335","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","C111",NA,NA,NA,NA,NA,NA,NA,NA
"4364838","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"3991527","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae",NA,NA,NA,NA,NA,NA,NA,NA
"290455","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1040796","Bacteria","WPS-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480861","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4425214","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4448331","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4339774","Bacteria","Acidobacteria","Solibacteres","Solibacterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"620684","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"359872","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA
"269386","Bacteria","Cyanobacteria","4C0d-2","YS2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4396235","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"320888","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2755928","Bacteria","Cyanobacteria","Chloroplast","Chlorophyta","Trebouxiophyceae",NA,NA,NA,NA,NA,NA,NA,NA
"4295564","Bacteria","[Thermi]","Deinococci","Thermales","Thermaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4426982","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4442093","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","mb2424",NA,NA,NA,NA,NA,NA,NA,NA
"912160","Bacteria","Proteobacteria","Deltaproteobacteria","Spirobacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"246717","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4453609","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"171372","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131883","Bacteria","[Thermi]","Deinococci","Deinococcales","Deinococcaceae",NA,NA,NA,NA,NA,NA,NA,NA
"2300392","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1696853","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4402457","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4415689","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"539735","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Dietziaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1119668","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4366310","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"588637","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SUP05",NA,NA,NA,NA,NA,NA,NA,NA
"4402605","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"190032","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1127736","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Gordoniaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4387092","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1105731","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151814","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4457438","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,NA,NA,NA,NA,NA
"4340498","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"1053321","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4299497","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4378239","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Sanguibacteraceae",NA,NA,NA,NA,NA,NA,NA,NA
"816291","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae",NA,NA,NA,NA,NA,NA,NA,NA
"4417475","Bacteria","Proteobacteria","Alphaproteobacteria","Ellin329",NA,NA,NA,NA,NA,NA,NA,NA,NA
