"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.542747182420772,0.00839091640706245,-0.000454970155501649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825323547457028,-0.0391314249469662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531338720349725,0,0,0
"2",0.00839091640706245,0.2267186058221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.058294798625085,0,0,0.00369460638394588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",-0.000454970155501649,0,0.837250243486395,-0.069388006444293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,-0.069388006444293,0.849590789021828,0,0.0244278315655477,0,0,-0.0311627781963598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.762094397951071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319953217608086,0,0,0
"6",0,0,0,0.0244278315655477,0,0.182964195237185,0,0,0,0,0,0,0,0.01028701367757,-0.0351271476757315,0,0,0,0,0,0,0,0,0,0,0,-0.0169658747108333,0,0,0,0,0,0,0.00626258516645408,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.478732863784522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156122986402441,0,-0.000114575642082381,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.225276172753148,0,0,0,0.0111575586021524,0,0,0,0,0,0,0,-0.0331919651485066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,-0.0311627781963598,0,0,0,0,0.652782171295115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.362048728437066,0,0,0,0,0,0,0,0,0,0,-0.00486750989541679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
